 Duration(s) Distance(steps)     Force(N)  Amperage(A)
       2.275         200.000       -1.900      295.660
       2.543         400.000      -18.970      294.220
       2.792         600.000      -11.510      292.780
       3.045         800.000        4.110      291.360
       3.324        1000.000       -5.990      288.580
       3.551        1200.000      -22.340      287.170
       3.797        1400.000      -21.270      285.770
       4.045        1600.000      -12.900      285.720
       4.312        1800.000       -4.610      284.330
       4.741        2000.000      -30.880      281.620
       4.831        2200.000      -25.420      281.560
       5.108        2400.000      -18.600      280.190
       5.337        2600.000      -14.270      278.820
       5.611        2800.000      -31.940      277.470
       5.836        3000.000      -41.600      274.820
       6.085        3200.000      -32.570      273.480
       6.504        3400.000      -33.400      273.430
       6.603        3600.000      -16.810      272.100
       6.848        3800.000      -10.940      269.500
       7.098        4000.000       10.210      269.450
       7.348        4200.000        2.330      268.140
       7.682        4400.000       -8.200      266.830
       7.861        4600.000      -12.170      264.290
       8.110        4800.000        0.050      264.240
       8.375        5000.000       -1.300      262.950
       8.625        5200.000      -14.120      260.440
       8.873        5400.000      -19.110      259.170
       9.486        5600.000       -9.390      257.910
       9.514        5800.000      -10.470      257.860
       9.637        6000.000      -32.990      255.400
       9.887        6200.000      -36.740      254.160
      10.153        6400.000      -25.470      254.110
      10.473        6600.000      -23.800      252.870
