 Duration(s) Distance(steps)     Force(N)  Amperage(A)
       2.160         200.000      207.510      140.360
       2.319         400.000      193.990      145.960
       2.424         600.000      210.190      149.640
       2.564         800.000      235.440      153.080
       2.705        1000.000      230.160      154.090
       3.032        1200.000      232.610      150.590
       3.062        1400.000      242.810      151.290
       3.167        1600.000      240.590      152.410
       3.257        1800.000      244.820      152.330
       3.390        2000.000      270.430      148.950
       3.531        2200.000      236.740      148.890
       3.690        2400.000      259.540      149.590
       3.797        2600.000      264.510      149.950
       3.959        2800.000      248.880      146.920
       4.136        3000.000      260.530      146.200
       4.220        3200.000      270.080      146.720
       4.355        3400.000      262.600      146.860
       4.496        3600.000      272.890      144.050
       4.636        3800.000      247.290      143.790
       4.762        4000.000      239.850      144.630
       4.901        4200.000      259.760      144.250
       5.094        4400.000      266.880      141.680
       5.184        4600.000      229.660      141.100
       5.323        4800.000      245.240      141.840
       5.496        5000.000      224.990      141.150
       5.592        5200.000      227.970      139.260
       5.728        5400.000      278.590      138.140
       5.868        5600.000      256.350      138.890
       6.009        5800.000      261.750      138.760
       6.149        6000.000      305.240      136.330
       6.323        6200.000      237.690      135.230
       6.414        6400.000      291.120      136.940
       6.552        6600.000      226.460      135.990
       6.971        6800.000      226.700      133.900
       7.002        7000.000      278.910      133.030
       7.043        7200.000      233.660      133.700
       7.210        7400.000      236.950      134.200
       7.349        7600.000      208.740      131.520
       7.382        7800.000      257.170      130.440
       7.537        8000.000      261.510      131.120
       7.658        8200.000      250.040      131.030
       7.812        8400.000      185.840      128.740
       7.940        8600.000      181.220      127.350
       8.064        8800.000      257.200      128.920
       8.240        9000.000      256.490      128.290
       8.344        9200.000      249.960      126.790
       8.485        9400.000      268.660      125.400
       8.610        9600.000      253.390      126.770
       8.781        9800.000      272.320      125.930
       8.892       10000.000      193.900      123.790
       9.030       10200.000      195.420      122.850
       9.286       10400.000      222.160      124.110
       9.323       10600.000      230.270      123.400
       9.451       10800.000      196.200      121.700
       9.578       11000.000      211.680      120.450
       9.730       11200.000      204.160      121.840
       9.857       11400.000      195.880      121.240
      10.000       11600.000      232.610      119.330
      10.138       11800.000      234.950      118.630
      10.280       12000.000      263.740      119.300
      10.406       12200.000      215.540      118.690
      10.549       12400.000      242.730      116.580
      10.686       12600.000      231.980      115.570
      10.826       12800.000      172.030      117.950
      10.966       13000.000      213.860      116.520
      11.090       13200.000      194.050      114.410
      11.312       13400.000      236.570      113.530
      11.392       13600.000      205.530      115.170
      11.512       13800.000      222.370      114.280
      11.652       14000.000      217.050      112.400
      11.846       14200.000      207.440      111.090
      11.917       14400.000      189.810      112.850
      12.059       14600.000      146.990      112.080
      12.199       14800.000      235.730      110.110
      12.340       15000.000      178.840      109.130
      12.487       15200.000      187.110      111.020
      12.607       15400.000      157.840      110.040
      12.747       15600.000      248.880      107.850
      12.887       15800.000      214.670      107.000
      13.027       16000.000      205.640      109.000
      13.172       16200.000      194.600      107.810
      13.294       16400.000      156.770      105.530
      13.440       16600.000      178.730      104.230
      13.578       16800.000      229.300      106.130
      13.780       17000.000      257.250      105.630
      13.853       17200.000      237.340      103.690
      13.992       17400.000      238.700      102.420
      14.115       17600.000      269.910      104.440
      14.256       17800.000      235.530      104.410
      14.397       18000.000      262.350      101.560
      14.538       18200.000      210.240      101.190
      14.700       18400.000      252.410      102.440
      14.804       18600.000      216.940      102.520
      14.944       18800.000      203.380       99.690
      15.121       19000.000      228.430       98.440
